instance,optimum,found,gap,status,best_perm,time_sec,param_pop_size,param_gens,param_cross_rate,param_mut_rate,param_tourn_size,param_elitism,param_use_local_search,param_ls_freq,param_strategy,param_init_method
chr25a,3796,5570,0.4673,FAIL,23 2 21 8 18 1 7 6 9 10 22 17 13 4 20 19 12 5 3 24 25 16 14 11 15,11.01,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr18a,11098,16234,0.4628,FAIL,8 9 5 2 14 4 11 16 10 18 1 15 13 17 7 3 12 6,3.16,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr20c,14142,20038,0.4169,FAIL,13 8 3 16 4 10 5 18 15 12 9 1 11 17 19 7 20 6 2 14,3.85,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr15c,9504,13156,0.3843,FAIL,8 13 5 2 14 7 1 6 9 3 11 10 4 12 15,4.29,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr15b,7990,11046,0.3825,FAIL,7 14 1 2 5 12 4 9 11 6 13 8 10 3 15,4.25,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr15a,9896,12916,0.3052,FAIL,9 14 3 1 5 13 11 7 4 6 2 15 10 8 12,4.25,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr20b,2298,2692,0.1715,WARN,10 8 3 20 7 9 12 1 6 19 14 18 16 17 4 5 2 11 13 15,3.82,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr20a,2192,2500,0.1405,WARN,13 2 5 4 11 17 14 15 10 6 9 18 1 8 12 20 19 16 7 3,3.82,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr22a,6156,6904,0.1215,WARN,1 4 22 19 2 16 12 10 9 7 15 20 5 13 11 21 3 8 6 18 14 17,4.53,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr18b,1534,1694,0.1043,WARN,5 8 1 2 4 3 7 6 10 14 11 13 12 16 15 17 9 18,3.18,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr22b,6194,6716,0.0843,OK,15 22 8 9 6 11 19 13 7 1 12 4 16 2 18 20 5 3 21 10 14 17,4.54,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr12b,9742,10102,0.037,OK,11 6 1 12 5 8 4 2 9 7 10 3,1.63,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr12c,11156,11566,0.0368,OK,6 11 12 8 9 10 2 5 4 7 3 1,1.64,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr12a,9552,9552,0.0,OK,7 5 12 2 1 3 9 11 10 6 8 4,1.62,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,random
chr20c,14142,24058,0.7012,FAIL,6 12 20 14 4 3 5 2 7 18 10 9 16 11 13 17 19 1 8 15,10.31,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr20a,2192,3204,0.4617,FAIL,3 7 10 16 12 18 15 14 4 1 6 17 19 13 9 20 5 2 11 8,10.12,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr15c,9504,13346,0.4043,FAIL,8 15 5 4 14 10 6 11 2 9 13 3 7 12 1,7.23,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr15b,7990,11204,0.4023,FAIL,5 1 8 13 15 14 9 10 6 7 2 4 11 12 3,7.26,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr18a,11098,15018,0.3532,FAIL,9 15 18 7 6 4 2 12 3 10 1 13 14 11 16 8 17 5,8.19,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr20b,2298,3102,0.3499,FAIL,13 5 1 11 9 15 17 16 18 14 19 6 8 12 20 2 3 4 7 10,10.12,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr12c,11156,14636,0.3119,FAIL,4 6 3 11 5 8 7 10 9 1 12 2,3.87,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr25a,3796,4944,0.3024,FAIL,9 16 20 11 23 5 3 7 14 6 10 25 21 2 4 13 18 1 12 15 22 17 19 8 24,19.51,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr15a,9896,11818,0.1942,WARN,5 9 3 13 11 12 10 2 4 6 7 15 14 1 8,7.26,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr22b,6194,7072,0.1418,WARN,22 2 9 7 18 11 16 13 1 10 4 3 19 15 12 20 5 6 8 21 14 17,12.35,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr22a,6156,7022,0.1407,WARN,13 9 4 12 3 7 18 17 20 2 5 16 11 21 15 1 22 19 14 10 8 6,12.43,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr18b,1534,1628,0.0613,OK,10 7 16 5 13 8 14 9 17 6 18 3 15 2 12 1 11 4,8.18,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr12b,9742,10102,0.037,OK,11 6 1 12 5 8 4 2 9 7 10 3,3.84,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr12a,9552,9552,0.0,OK,7 5 12 2 1 3 9 11 10 6 8 4,3.9,500,50,0.5,0.5,1.0,25.0,True,10.0,plus,random
chr25a,3796,5662,0.4916,FAIL,6 8 4 13 3 23 12 24 14 1 2 17 21 15 25 22 18 11 19 5 9 7 20 10 16,13.77,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr18a,11098,15520,0.3985,FAIL,1 17 7 4 12 9 10 13 8 15 3 5 11 14 6 2 18 16,4.85,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr20c,14142,19572,0.384,FAIL,8 18 13 16 20 4 6 3 14 2 5 10 15 1 7 17 11 12 9 19,5.89,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr20a,2192,2852,0.3011,FAIL,7 3 16 10 20 14 8 15 4 18 9 6 11 13 17 19 12 2 5 1,5.9,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr15c,9504,11808,0.2424,WARN,15 14 4 5 1 8 6 13 2 3 7 9 12 11 10,5.36,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr12a,9552,11248,0.1776,WARN,4 6 10 2 3 11 8 5 12 7 9 1,2.43,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr20b,2298,2632,0.1453,WARN,10 8 4 20 14 18 16 15 1 11 9 2 3 13 7 5 12 17 6 19,5.89,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr22b,6194,6684,0.0791,OK,12 19 18 1 9 6 2 22 20 21 8 11 16 17 15 7 5 4 3 10 14 13,7.01,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr12c,11156,11996,0.0753,OK,11 6 12 4 9 3 2 5 10 7 8 1,2.44,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr18b,1534,1638,0.0678,OK,1 4 2 5 3 8 6 9 7 12 10 11 13 14 16 15 17 18,4.85,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr12b,9742,10102,0.037,OK,11 6 1 12 5 8 4 2 9 7 10 3,2.42,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr15a,9896,10106,0.0212,OK,5 10 14 13 12 8 1 3 4 6 9 15 2 11 7,5.34,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr22a,6156,6264,0.0175,OK,7 2 21 11 16 1 15 18 14 13 5 17 6 8 3 4 20 19 9 22 10 12,6.96,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr15b,7990,7990,0.0,OK,4 13 15 1 9 2 5 12 6 14 7 3 10 11 8,5.37,500,50,0.5,0.5,1.0,0.0,False,10.0,generational,clustering_sa
chr20c,14142,22398,0.5838,FAIL,18 19 13 11 8 4 16 10 14 12 5 3 15 17 9 1 7 6 2 20,11.3,500,50,0.5,0.5,1.0,25.0,True,1.0,comma,random
chr18a,11098,16940,0.5264,FAIL,7 12 1 18 17 11 6 8 2 10 5 4 3 14 9 13 15 16,8.98,500,50,0.5,0.5,1.0,25.0,True,1.0,comma,random
chr15c,9504,14428,0.5181,FAIL,11 13 9 2 3 7 6 1 10 15 12 4 5 14 8,9.72,500,50,0.5,0.5,1.0,25.0,True,1.0,comma,random
